NUM_SERIEV,NUM_POL,NUMUNIDADVP,FECINIVIGENTE,FEC_FIN,FEC_ANU,GENERO,EDAD,ANOMVEH,ACREEDOR,COD_MARCAV,COD_MODELOV,MCLIM_LC,MCLIM_SO_LC,MCLIM_DPA,MCLIM_SO_DPA,MCLIM_AM,MCLIM_CP,MCLIM_CO,MRECT_LC,MRECT_SO_LC,MRECT_DPA,MRECT_SO_DPA,MRECT_AM,MRECT_CP,MRECT_CO,CANTAC_LC,CANTAC_SO_LC,CANTAC_DP,CANTAC_SO_DP,CANTAC_AM,CANTAC_CP,CANTAC_CO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159122,32237,16,2013-03-02,2014-03-02,,,81,2013,N,75,1,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
81506,32245,1,2013-03-27,2014-03-27,,F,36,2009,S,73,39,50000,0,25000,0,0,0,0,0,0,0,0,0,0,302.2407,0,0,0,0,0,0,1
159122,32287,1,2013-05-01,2014-05-01,,,,1990,S,50,69,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
112293,32251,1,2013-05-10,2014-05-10,,M,65,2012,N,29,102,50000,0,25000,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
159707,215402,1,2013-05-14,2014-05-14,,F,65,2004,N,43,11,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,,,,,,,
169919,32270,26,2013-06-30,2014-06-30,2014-02-24,,,2008,N,6,129,50000,0,25000,0,25000,23528.589,23528.589,101.37,0,4967.1765,0,0,0,9806.6361,1,0,1,0,0,0,1
173492,32269,20,2013-07-15,2014-05-28,2014-05-06,,6,2013,N,48,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
69787,32303,1,2013-08-28,2014-08-28,,F,49,2007,N,52,114,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
52191,32311,1,2013-09-04,2014-09-04,,F,51,2008,N,28,40,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
86272,32312,1,2013-09-13,2014-09-13,,F,34,2006,N,73,149,0,0,0,0,0,18074.7,18074.7,0,0,597.3576,0,0,0,0,0,0,1,0,0,0,0
33719,32318,1,2013-09-27,2014-09-27,,F,42,2009,N,28,76,300000,0,100000,0,50000,0,0,100.44,0,0,0,0,0,0,1,0,0,0,0,0,1
109555,32323,1,2013-10-18,2014-10-18,2014-10-18,F,59,2006,N,29,89,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
31083,32309,227,2013-10-18,2014-09-28,,,81,2009,N,52,115,0,0,0,0,0,14183.4525,14183.4525,0,0,0,0,0,0,0,,,,,,,
71369,32319,1,2013-10-20,2014-10-20,,F,52,1999,N,52,48,300000,0,100000,0,25000,0,0,0,0,0,0,0,0,0,,,,,,,
